,Organisation,Investors,Location
26692, Remon Medical Technologies ," Concord Ventures, Guidant, KBL Healthcare Ventures, Lilly Ventures, Medica Venture Partners, Ofer Hi-Tech, Polaris Partners, Triathlon Medical Venture Partners"," Caesarea, Hefa, Israel, Asia"
26693, Calypso Medical ," Bay City Capital, Earlybird Venture Capital, Frazier Healthcare Partners, Versant Ventures"," Seattle, Washington, United States, North America"
26694, Biolex Therapeutics , Johnson & Johnson Development Corporation," Pittsboro, North Carolina, United States, North America"
26695, Takeda Cambridge ," Avlar BioVentures, Excalibur Fund Managers"," Cambridge, Cambridgeshire, United Kingdom, Europe"
26696, Alexza Pharmaceuticals ," 5AM Ventures, Abingworth, Alejandro Zaffaroni, Alloy Ventures, Burrill & Company, CMEA Ventures, Delphi Ventures, Frazier Healthcare Partners, MDS Capital, New Enterprise Associates, Pacific Rim Ventures, T. Rowe Price, Versant Ventures, WestRiver Group"," Mountain View, California, United States, North America"
26697, Dexcom ," Canaan Partners, RWI Group, St. Paul Venture Capital, Warburg Pincus"," San Diego, California, United States, North America"
26698, Cartilix , — ," Foster City, California, United States, North America"
26699, Vitae Pharmaceuticals , Venrock," Fort Washington, Pennsylvania, United States, North America"
26700, VisionCare Ophthalmic Technologies ," Boston Scientific, ONSET Ventures, Pitango Venture Capital, Three Arch Partners"," Saratoga, California, United States, North America"
26701, Gammastar Medical Group ," Harbinger Ventures, IDG Capital, Qiming Venture Partners"," Shanghai, Shanghai, China, Asia"
26702, PowerVision ," Frazier Healthcare Partners, JPMorgan Partners (JPMP)"," Belmont, California, United States, North America"
26703, Sotera Wireless , — ," San Diego, California, United States, North America"
26704, NeuroPace ," Domain Associates, InterWest Partners, Kleiner Perkins, MedVenture, New Enterprise Associates, Technology Partners"," Mountain View, California, United States, North America"
26705, Ciming Checkup , CDH Investments," Beijing, Beijing, China, Asia"
26706, Picomole , Advanced Technology Centre," Moncton, New Brunswick, Canada, North America"
26707, NextWave Pharmaceuticals ," Sofinnova Investments, Vivo Capital"," Cupertino, California, United States, North America"
26708, Solta Medical , Morgenthaler Private Equity," Hayward, California, United States, North America"
26709, iTel Companies , — ," Scottsdale, Arizona, United States, North America"
26710," Interface Biologics, Inc. ", BDC Venture Capital," Toronto, Ontario, Canada, North America"
26711, AngioChem , BDC Venture Capital," Montréal, Quebec, Canada, North America"
26712, The Outsource Group , ClearLight Partners," Columbia, Missouri, United States, North America"
26713, Haemostatix , Spark Ventures," Nottingham, Nottingham, United Kingdom, Europe"
26714, Hospital Consulting , Sviluppo Imprese Centro Italia," Bagno A Ripoli, Toscana, Italy, Europe"
26715, Ardian , — ," Mountain View, California, United States, North America"
26716, Pathway Care Fostering , Livingbridge," Bolton, Bolton, United Kingdom, Europe"
26717, RIEMSER Pharma , Nord Holding," Greifswald, Mecklenburg-Vorpommern, Germany, Europe"
26718, Medstory , Zach Nelson," Mountain View, California, United States, North America"
26719, Communication Science , Partisan Management Group," Buffalo Grove, Illinois, United States, North America"
26720, Intas Pharmaceuticals , Chrys Capital," Ahmedabad, Gujarat, India, Asia"
26721, General Sensing , MIT Media Lab," Cyberport, Hong Kong Island, Hong Kong, Asia"
26722, Aragon Surgical ," Delphi Ventures, ONSET Ventures"," Palo Alto, California, United States, North America"
26723, Apieron , Threshold," Menlo Park, California, United States, North America"
26724, Monica Healthcare , Catapult Ventures," Nottingham, Nottingham, United Kingdom, Europe"
26725, AFrame Digital , — ," Reston, Virginia, United States, North America"
26726, Satori Pharmaceuticals , PureTech Health," Cambridge, Massachusetts, United States, North America"
26727, APT Therapeutics , BioGenerator," St Louis, Missouri, United States, North America"
26728, Novacta Biosystems ," Oxford Technology Management, UK Innovation & Science Seed Fund"," Welwyn Garden City, Hertford, United Kingdom, Europe"
26729, Surface Therapeutics Ltd. , East Hill Management," Abingdon, Oxfordshire, United Kingdom, Europe"
26730, Healthcare Homes , August Equity," Colchester, Essex, United Kingdom, Europe"
26731, Nuter , Explorer Investments," A Coruña, Galicia, Spain, Europe"
26732, Kuros Biosciences ," DEFI Gestion, Innovation Capital, Neomed Management, Reference Capital (formerly Genevest), VI Partners, VINCI CAPITAL"," Schlieren, Zurich, Switzerland, Europe"
26733, QuantaRed Technologies , HCS Beteiligungsgesellschaft," Vienna, Wien, Austria, Europe"
26734, Qvalitas , Livonia Partners," Tallinn, Harjumaa, Estonia, Europe"
26735, Genoscreen , Finorpa," Lille, Nord-Pas-de-Calais, France, Europe"
26736, CardioMind ," InterWest Partners, Latterell Venture Partners, Morgenthaler Ventures"," Sunnyvale, California, United States, North America"
26737, Cambridge Heart , — ," Tewksbury, Massachusetts, United States, North America"
26738, MDVIP , Summit Partners," Boca Raton, Florida, United States, North America"
26739, Active Implants , — ," Memphis, Tennessee, United States, North America"
26740, Veran Medical Technologies , — ," St Louis, Missouri, United States, North America"
26741, Barosense ," Delphi Ventures, Frazier Healthcare Partners, RWI Group, University Venture Fund"," Redwood City, California, United States, North America"
26742, BioVex , — ," Oxton, York, United Kingdom, Europe"
26743, Myocor ," Affinity Capital Management, Alta Partners, Coral Ventures, Investor Growth Capital Limited, IVP, Prism Venture Management, St. Paul Venture Capital, Tullis Health Investors"," Maple Grove, Minnesota, United States, North America"
26744, Harbin Pharmaceutical Group ," CITIC Capital Holdings, Warburg Pincus"," Harbin, Heilongjiang, China, Asia"
26745, BiPar Sciences ," Asset Management Company, Asset Management Ventures (AMV), Canaan Partners, PolyTechnos Venture Partners, Quantum Technology Partners, Vulcan Capital"," Brisbane, California, United States, North America"
26746, Viacor , — ," Wilmington, Massachusetts, United States, North America"
26747, Max Healthcare , Life Healthcare," New Delhi, Delhi, India, Asia"
26748, Santhera Pharmaceuticals ," Heidelberg Innovation, NGN Capital"," Liestal, Basel-Landschaft, Switzerland, Europe"
26749, Renutra Natural Health Products , Bluestem Capital," Watertown, South Dakota, United States, North America"
26750, Zystor ," Apjohn ventures, Hexagon Investments, Mason Wells, Prolog Ventures, State of Wisconsin Investment Board, Stonehenge Capital, Venture Investors"," Milwaukee, Wisconsin, United States, North America"
26751, Sierra Oncology , Apjohn ventures," Vancouver, British Columbia, Canada, North America"
26752, Couer Metrics ," BDC Venture Capital, Innovacorp"," Halifax, Nova Scotia, Canada, North America"
26753, ReVision Optics ," Canaan Partners, InterWest Partners"," Lake Forest, California, United States, North America"
26754, Inpharmatica , REV," London, England, United Kingdom, Europe"
26755, Panacos Pharmaceuticals , Great Point Partners," Watertown, Massachusetts, United States, North America"
26756, Theraclone Sciences , — ," Seattle, Washington, United States, North America"
26757, QuatRx Pharmaceuticals ," Frazier Healthcare Partners, InterWest Partners, TL Ventures"," Ann Arbor, Michigan, United States, North America"
26758, Synta Pharmaceuticals , — ," Lexington, Massachusetts, United States, North America"
26759, Transneuronix , Affinity Capital Management," Mount Arlington, New Jersey, United States, North America"
26760, Novexel ," 3i Group, Abingworth, Atlas Venture, Novo Holdings, Sofinnova Investments"," Romainville, Ile-de-France, France, Europe"
26761, CircuLite ," ABN AMRO Fund, Giza Venture Capital, Oxford Bioscience Partners"," Framingham, Massachusetts, United States, North America"
26762, Intarcia Therapeutics ," Alta Partners, GGV Capital, InterWest Partners, New Enterprise Associates, Venrock"," Hayward, California, United States, North America"
26763, Odyssey Health Clubs , Rcapital," Stevenage, Herefordshire, United Kingdom, Europe"
26764, Sirtris Pharmaceuticals ," Cardinal Partners, Polaris Partners, Skyline Ventures, TVM Capital, Wellcome Trust"," Cambridge, Massachusetts, United States, North America"
26765, CareDx ," Bay Area Equity Fund, Burrill & Company, Integral Capital Partners, Kleiner Perkins, Sprout Group"," Brisbane, California, United States, North America"
26766, Arpida AG , CITA Investissement," Reinach, Aargau, Switzerland, Europe"
26767, Rhytec ," Advent Venture Partners, Scottish Equity Partners"," Waltham, Massachusetts, United States, North America"
26768, MiCardia Corporation , — ," Irvine, California, United States, North America"
26769, PneumRx , — ," Mountain View, California, United States, North America"
26770, JDS Pharmaceuticals LLC. ," ACG Equity Partners, Galen Partners"," Morrisville, Pennsylvania, United States, North America"
26771, REVA Medical , Boston Scientific," San Diego, California, United States, North America"
26772, Valeo Medical ," Healthcare Capital Group, Tullis Health Investors"," Burlington, Massachusetts, United States, North America"
26773, SINTX Technologies , — ," Salt Lake City, Utah, United States, North America"
26774, Symetis ," Aravis Ventures, BioMedPartners, Novartis Venture Fund"," Ecublens, Vaud, Switzerland, Europe"
26775, Asteres ," Pacific Venture Group, Sanderling Ventures"," San Diego, California, United States, North America"
26776, EnteroMedics , — ," Saint Paul, Minnesota, United States, North America"
26777, Chestnut Medical , — ," Menlo Park, California, United States, North America"
26778, Senior Whole Health ," Council Ventures, New Capital Partners, Noro-Moseley Partners, SSM Partners"," Cambridge, Massachusetts, United States, North America"
26779, ViOptix ," MDS Capital, Morningside Group, Thrivent Financial, Vivo Capital"," Fremont, California, United States, North America"
26780, BioMimetic Therapeutics ," Burrill & Company, CMEA Ventures, Holden Capital, InterWest Partners, MB Venture Partners, Mitsubishi International Corporation (MIC), Novo Holdings"," Franklin, Tennessee, United States, North America"
26781, Compressus , — ," Washington, District of Columbia, United States, North America"
26782, Chimerix ," Asset Management Ventures (AMV), Frazier Technology Ventures, Sanderling Ventures"," Durham, North Carolina, United States, North America"
26783, Aethon , — ," Pittsburgh, Pennsylvania, United States, North America"
26784, NanoVibronix , — ," Melville, New York, United States, North America"
26785, Median Technologies ," Auriga Partners, Idinvest Partners, Threshold"," Valbonne, Provence-Alpes-Cote d'Azur, France, Europe"
26786, Corthera ," Domain Associates, Johnson & Johnson Development Corporation, Kleiner Perkins"," San Carlos, California, United States, North America"
26787, Ascenta Therapeutics ," Domain Associates, Enterprise Partners, Scale Venture Partners, Sofinnova Investments, U.S. Venture Partners (USVP)"," Malvern, Pennsylvania, United States, North America"
26788, 7TM Pharma ," Alta Partners, Dansk Innovation, Index Ventures"," Lyngby, Hovedstaden, Denmark, Europe"
26789, Vocera Communications ," Avalon Ventures, Cisco Investments, Granite Ventures, Intel Communications Fund, RRE Ventures, Thomas Weisel Venture Partners, Vanguard Ventures"," San Jose, California, United States, North America"
26790, Pelikan Technologies , Swissfirst Bank AG," Palo Alto, California, United States, North America"
26791, Centice , Novak Biddle Venture Partners," Morrisville, North Carolina, United States, North America"
26792, Senior Whole Health ," Council Capital, New Capital Partners, Noro-Moseley Partners, SSM Partners"," Cambridge, Massachusetts, United States, North America"
26793, Concuity ," Gabriel Venture Partners, Mobius Venture Capital, Three Arch Partners, Versant Ventures"," Vernon Hills, Illinois, United States, North America"
26794, MacroGenics ," Alta Partners, Emerging Technology Partners, InterWest Partners, Mithra Ventures, MPM Capital, OrbiMed, Red Abbey Venture Partners, TPG"," Rockville, Maryland, United States, North America"
